Date,Open,High,Low,Close,Volume
20181109,1.13678,1.13689,1.13161,1.13342,242845
20181111,1.13182,1.13285,1.13137,1.13237,12052
20181112,1.13239,1.13305,1.12156,1.12235,238243
20181113,1.12235,1.13212,1.12218,1.13109,345807
20181114,1.13111,1.13475,1.12632,1.13121,293905
20181115,1.13121,1.13622,1.12705,1.13243,294465
20181116,1.13244,1.14202,1.13216,1.14185,247645
20181118,1.14133,1.14211,1.14061,1.14136,10880
20181119,1.14135,1.14644,1.13938,1.14540,206110
20181120,1.14540,1.14723,1.13587,1.13721,240475
20181121,1.13720,1.14245,1.13656,1.13884,236449
20181122,1.13885,1.14340,1.13853,1.14026,171244
20181123,1.14027,1.14209,1.13275,1.13355,338082
20181125,1.13401,1.13407,1.13305,1.13374,9858
20181126,1.13374,1.13837,1.13250,1.13331,229495
20181127,1.13331,1.13436,1.12775,1.12969,247343
20181128,1.12970,1.13875,1.12671,1.13674,267604
20181129,1.13674,1.14016,1.13486,1.13924,266462
20181130,1.13924,1.14003,1.13054,1.13164,253966
20181202,1.13499,1.13502,1.13282,1.13421,11542
20181203,1.13422,1.13796,1.13192,1.13541,246816
20181204,1.13541,1.14187,1.13185,1.13424,287343
20181205,1.13425,1.13612,1.13107,1.13487,199518
20181206,1.13487,1.14123,1.13209,1.13758,284437
20181207,1.13758,1.14235,1.13603,1.13758,246202
20181209,1.13909,1.14067,1.13906,1.13995,9904
20181210,1.13996,1.14426,1.13504,1.13558,260556
20181211,1.13559,1.14002,1.13062,1.13216,265028
20181212,1.13215,1.13872,1.13148,1.13725,268068
20181213,1.13725,1.13932,1.13310,1.13630,253905
20181214,1.13630,1.13649,1.12699,1.13045,258454
20181216,1.13008,1.13083,1.12967,1.13041,12274
20181217,1.13043,1.13577,1.13027,1.13493,216834
20181218,1.13495,1.14022,1.13366,1.13758,253691
20181219,1.13756,1.14392,1.13643,1.13865,402118
20181220,1.13865,1.14859,1.13771,1.14565,528464
20181221,1.14566,1.14739,1.13559,1.13684,463627
20181223,1.13692,1.13738,1.13604,1.13723,9470
20181224,1.13723,1.14384,1.13705,1.13995,369538
20181225,1.13998,1.14198,1.13892,1.14131,20991
20181226,1.14132,1.14163,1.13428,1.13601,263196
20181227,1.13602,1.14540,1.13580,1.14304,561562
20181228,1.14306,1.14727,1.14299,1.14414,449251
20181230,1.14331,1.14406,1.14331,1.14389,9989
20181231,1.14389,1.14674,1.14213,1.14627,309704
20190101,1.14598,1.14676,1.14566,1.14612,12113
20190102,1.14612,1.14967,1.13092,1.13121,462599
20190103,1.13122,1.14110,1.13099,1.13899,500035
20190104,1.13901,1.14189,1.13456,1.13943,408911
20190106,1.13955,1.14129,1.13954,1.14102,12685
20190107,1.14102,1.14826,1.14046,1.14789,367791
20190108,1.14790,1.14844,1.14222,1.14572,377592
20190109,1.14573,1.15578,1.14389,1.15541,470453
20190110,1.15541,1.15697,1.14844,1.15081,507260
20190111,1.15082,1.15403,1.14580,1.14656,373982
20190113,1.14589,1.14685,1.14583,1.14597,8550
20190114,1.14598,1.14820,1.14506,1.14726,352555
20190115,1.14727,1.14896,1.13819,1.14141,433222
20190116,1.14140,1.14248,1.13777,1.13994,377714
20190117,1.13994,1.14059,1.13700,1.13920,385628
20190118,1.13920,1.14103,1.13532,1.13614,387124
20190120,1.13603,1.13680,1.13602,1.13650,7142
20190121,1.13651,1.13910,1.13567,1.13688,240741
20190122,1.13687,1.13739,1.13361,1.13633,370232
20190123,1.13634,1.13942,1.13505,1.13861,382963
20190124,1.13861,1.13913,1.12892,1.13126,442787
20190125,1.13127,1.14176,1.13049,1.14032,427003
20190127,1.14005,1.14134,1.14004,1.14127,7879
20190128,1.14127,1.14436,1.13900,1.14294,359500
20190129,1.14295,1.14501,1.14111,1.14348,430252
20190130,1.14348,1.15016,1.14062,1.14853,437435
20190131,1.14852,1.15141,1.14356,1.14482,482810
20190201,1.14482,1.14884,1.14343,1.14547,403679
20190203,1.14503,1.14581,1.14503,1.14543,6755
20190204,1.14543,1.14603,1.14244,1.14349,371783
20190205,1.14348,1.14404,1.14011,1.14087,336651
20190206,1.14087,1.14091,1.13608,1.13656,354695
20190207,1.13655,1.13675,1.13244,1.13382,380944
20190208,1.13382,1.13508,1.13207,1.13207,334962
20190210,1.13186,1.13248,1.13148,1.13237,8567
20190211,1.13239,1.13298,1.12672,1.12785,383417
20190212,1.12785,1.13396,1.12577,1.13336,409401
20190213,1.13336,1.13414,1.12490,1.12646,385380
20190214,1.12646,1.13098,1.12498,1.12947,422061
20190215,1.12946,1.13061,1.12340,1.12925,433371
20190217,1.12906,1.12959,1.12889,1.12948,7970
20190218,1.12948,1.13338,1.12937,1.13114,265730
20190219,1.13115,1.13574,1.12755,1.13399,410056
20190220,1.13399,1.13711,1.13249,1.13461,395504
20190221,1.13461,1.13663,1.13202,1.13398,446797
20190222,1.13399,1.13556,1.13161,1.13319,387902
20190224,1.13340,1.13421,1.13281,1.13420,10905
20190225,1.13421,1.13675,1.13367,1.13647,370348
20190226,1.13647,1.14027,1.13450,1.13930,420375
20190227,1.13931,1.14036,1.13622,1.13795,425489
20190228,1.13796,1.14197,1.13595,1.13730,459572
20190301,1.13731,1.14085,1.13533,1.13633,407619
20190303,1.13811,1.13826,1.13722,1.13749,10806
20190304,1.13749,1.13750,1.13090,1.13362,408670
20190305,1.13363,1.13384,1.12895,1.13060,397271
20190306,1.13059,1.13245,1.12855,1.13129,324602
20190307,1.13130,1.13202,1.11764,1.11980,392738
20190308,1.11980,1.12461,1.11852,1.12311,376930
20190310,1.12316,1.12374,1.12304,1.12315,7948
20190311,1.12315,1.12738,1.12217,1.12591,326421
20190312,1.12590,1.13049,1.12492,1.12865,322846
20190313,1.12864,1.13385,1.12773,1.13303,307403
20190314,1.13304,1.13361,1.12940,1.13064,330344
20190315,1.13066,1.13443,1.13000,1.13240,290895
20190317,1.13201,1.13277,1.13189,1.13192,6451
20190318,1.13193,1.13589,1.13192,1.13360,258600
20190319,1.13360,1.13615,1.13336,1.13542,274349
20190320,1.13543,1.14480,1.13354,1.14284,370309
20190321,1.14282,1.14373,1.13425,1.13737,358171
20190322,1.13737,1.13905,1.12732,1.13004,403551
20190324,1.12892,1.13011,1.12883,1.12955,8693
20190325,1.12956,1.13314,1.12889,1.13151,344254
20190326,1.13152,1.13259,1.12632,1.12738,338513
20190327,1.12737,1.12855,1.12421,1.12521,425298
20190328,1.12518,1.12612,1.12135,1.12298,429739
20190329,1.12297,1.12466,1.12098,1.12179,427509
20190331,1.12254,1.12312,1.12199,1.12231,10967
20190401,1.12231,1.12498,1.11984,1.12049,417787
20190402,1.12049,1.12160,1.11836,1.12032,440326
20190403,1.12032,1.12547,1.12019,1.12446,468562
20190404,1.12447,1.12475,1.12059,1.12222,384783
20190405,1.12222,1.12472,1.12099,1.12142,333999
20190407,1.12138,1.12213,1.12118,1.12181,8223
20190408,1.12181,1.12744,1.12148,1.12555,391155
20190409,1.12557,1.12842,1.12554,1.12655,387240
20190410,1.12654,1.12876,1.12294,1.12758,437231
20190411,1.12759,1.12873,1.12498,1.12601,387200
20190412,1.12602,1.13239,1.12572,1.12976,406061
20190414,1.13035,1.13072,1.12991,1.13028,10639
20190415,1.13029,1.13209,1.12975,1.13043,381217
20190416,1.13044,1.13139,1.12788,1.12845,482194
20190417,1.12845,1.13237,1.12813,1.12965,398093
20190418,1.12964,1.13039,1.12261,1.12349,415743
20190419,1.12349,1.12476,1.12323,1.12408,107699
20190421,1.12408,1.12452,1.12373,1.12440,6385
20190422,1.12440,1.12620,1.12357,1.12584,186720
20190423,1.12585,1.12612,1.11921,1.12237,370529
20190424,1.12239,1.12241,1.11406,1.11533,398836
20190425,1.11534,1.11623,1.11178,1.11353,349256
20190426,1.11353,1.11739,1.11111,1.11429,343555
