"Date	ActualValue5	ForecastValue5	PreviousValue5"
"2014.12.03	-3.689		1.946"
"2014.11.26	1.946		2.608"
"2014.11.19	2.608		-1.735"
"2014.11.13	-1.735		0.460"
"2014.11.05	0.460		2.061"
"2014.10.29	2.061		7.111"
"2014.10.22	7.111		8.923"
"2014.10.16	8.923		5.015"
"2014.10.08	5.015		-1.363"
"2014.10.01	-1.363		-4.273"
"2014.09.24	-4.273		3.673"
"2014.09.17	3.673		-0.972"
"2014.09.10	-0.972		-0.905"
"2014.09.04	-0.905		-2.070"
"2014.08.27	-2.070		-4.474"
"2014.08.20	-4.474		1.401"
"2014.08.13	1.401		-1.756"
"2014.08.06	-1.756		-3.697"
"2014.07.30	-3.697		-3.969"
"2014.07.23	-3.969		-7.525"
"2014.07.16	-7.525		-2.370"
"2014.07.09	-2.370		-3.155"
"2014.07.02	-3.155		1.742"
"2014.06.25	1.742		-0.579"
"2014.06.18	-0.579		-2.596"
"2014.06.11	-2.596		-3.431"
"2014.06.04	-3.431		1.657"
"2014.05.29	1.657		-7.226"
"2014.05.21	-7.226		0.947"
"2014.05.14	0.947		-1.781"
"2014.05.07	-1.781		1.698"
"2014.04.30	1.698		3.524"
"2014.04.23	3.524		10.013"
"2014.04.16	10.013		4.030"
"2014.04.09	4.030		-2.379"
"2014.04.02	-2.379		6.619"
"2014.03.26	6.619		5.850"
"2014.03.19	5.850		6.180"
"2014.03.12	6.180		1.429"
"2014.03.05	1.429		0.068"
"2014.02.26	0.068		0.973"
"2014.02.20	0.973		3.267"
"2014.02.12	3.267		0.440"
"2014.02.05	0.440		6.421"
"2014.01.29	6.421		0.990"
"2014.01.23	0.990		-7.658"
"2014.01.15	-7.658		-2.675"
"2014.01.08	-2.675		-7.007"
"2014.01.03	-7.007		-4.731"
"2013.12.27	-4.731		-2.941"
"2013.12.18	-2.941		-10.585"
"2013.12.11	-10.585		-5.585"
"2013.12.04	-5.585		2.953"
"2013.11.27	2.953		0.375"
"2013.11.20	0.375		2.640"
"2013.11.14	2.640		1.577"
"2013.11.06	1.577		4.087"
"2013.10.30	4.087		5.246"
"2013.10.23	5.246		3.999"
"2013.10.21	3.999		6.807"
"2013.10.09	6.807		5.472"
"2013.10.02	5.472		2.635"
"2013.09.25	2.635		-4.368"
"2013.09.18	-4.368		-0.219"
"2013.09.11	-0.219		-1.836"
"2013.09.05	-1.836		2.986"
"2013.08.28	2.986		-1.428"
"2013.08.21	-1.428		-2.812"
"2013.08.14	-2.812		-1.320"
"2013.08.07	-1.320		0.431"
"2013.07.31	0.431		-2.825"
"2013.07.24	-2.825		-6.902"
"2013.07.17	-6.902		-9.874"
"2013.07.10	-9.874		-10.347"
"2013.07.03	-10.347		0.018"
"2013.06.26	0.018		0.313"
"2013.06.19	0.313		2.523"
"2013.06.12	2.523		-6.267"
"2013.06.05	-6.267		3.000"
"2013.05.30	3.000		-0.338"
"2013.05.22	-0.338		-0.624"
"2013.05.15	-0.624		0.230"
"2013.05.08	0.230		6.696"
"2013.05.01	6.696		0.947"
"2013.04.24	0.947		-1.233"
"2013.04.17	-1.233		0.250"
"2013.04.10	0.250		2.707"
"2013.04.03	2.707		3.256"
"2013.03.27	3.256		-1.314"
"2013.03.20	-1.314		2.624"
"2013.03.13	2.624		3.833"
"2013.03.06	3.833		1.130"
"2013.02.27	1.130		4.143"
"2013.02.21	4.143		0.560"
"2013.02.13	0.560		2.623"
"2013.02.06	2.623		5.947"
"2013.01.30	5.947		2.813"
"2013.01.24	2.813		-0.951"
"2013.01.16	-0.951		1.314"
"2013.01.09	1.314		-11.120"
"2013.01.04	-11.120		-0.586"
"2012.12.28	-0.586		-0.964"
"2012.12.19	-0.964		0.843"
"2012.12.12	0.843		-2.357"
"2012.12.05	-2.357		-0.347"
"2012.11.28	-0.347		-1.466"
"2012.11.21	-1.466		1.089"
"2012.11.15	1.089		1.766"
"2012.11.07	1.766		-2.045"
"2012.11.01	-2.045		5.896"
"2012.10.24	5.896		2.860"
"2012.10.17	2.860		1.672"
"2012.10.11	1.672		-0.482"
"2012.10.03	-0.482		-2.446"
"2012.09.26	-2.446		8.534"
"2012.09.19	8.534		1.994"
"2012.09.12	1.994		-7.426"
"2012.09.06	-7.426		3.778"
"2012.08.29	3.778		-5.412"
"2012.08.22	-5.412		-3.699"
"2012.08.15	-3.699		-3.729"
"2012.08.08	-3.729		-6.522"
"2012.08.01	-6.522		2.717"
"2012.07.25	2.717		-0.809"
"2012.07.18	-0.809		-4.696"
"2012.07.11	-4.696		-4.270"
"2012.07.05	-4.270		-0.133"
"2012.06.27	-0.133		2.861"
"2012.06.20	2.861		-0.191"
"2012.06.13	-0.191		-0.111"
"2012.06.06	-0.111		2.213"
"2012.05.31	2.213		0.883"
"2012.05.23	0.883		2.128"
"2012.05.16	2.128		3.652"
"2012.05.09	3.652		2.840"
"2012.05.02	2.840		3.978"
"2012.04.25	3.978		3.856"
"2012.04.18	3.856		2.791"
"2012.04.11	2.791		9.009"
"2012.04.04	9.009		7.100"
"2012.03.28	7.100		-1.200"
"2012.03.21	-1.200		1.800"
"2012.03.14	1.800		0.800"
"2012.03.07	0.800		4.200"
"2012.02.29	4.200		1.600"
"2012.02.23	1.600		-0.200"
"2012.02.15	-0.200		0.300"
"2012.02.08	0.300		4.200"
"2012.02.01	4.200		3.600"
"2012.01.25	3.600		-3.400"
"2012.01.19	-3.400		5.000"
"2012.01.11	5.000		2.200"
"2012.01.05	2.200		3.900"
"2011.12.29	3.900		-10.600"
"2011.12.21	-10.600		-1.900"
"2011.12.14	-1.900		1.300"
"2011.12.07	1.300		3.900"
"2011.11.30	3.900		-6.200"
"2011.11.23	-6.200		-1.100"
"2011.11.16	-1.100		-1.400"
"2011.11.09	-1.400		1.800"
"2011.11.02	1.800		4.700"
"2011.10.26	4.700		-4.700"
"2011.10.19	-4.700		1.300"
"2011.10.13	1.300		-4.700"
"2011.10.05	-4.700		1.900"
"2011.09.28	1.900		-7.300"
"2011.09.21	-7.300		-6.700"
"2011.09.14	-6.700		-4.000"
"2011.09.08	-4.000		5.300"
"2011.08.31	5.300		-2.200"
"2011.08.24	-2.200		4.200"
"2011.08.17	4.200		-5.200"
"2011.08.10	-5.200		1.000"
"2011.08.03	1.000		2.300"
"2011.07.27	2.300		-3.700"
"2011.07.20	-3.700		-3.100"
"2011.07.13	-3.100		-0.900"
"2011.07.07	-0.900		-4.400"
"2011.06.29	-4.400		-1.700"
"2011.06.22	-1.700		-3.400"
"2011.06.15	-3.400		-4.800"
"2011.06.08	-4.800		2.900"
"2011.06.02	2.900		0.600"
"2011.05.25	0.600		0.000"
"2011.05.18	0.000		3.800"
"2011.05.11	3.800		3.400"
"2011.05.04	3.400		6.200"
"2011.04.27	6.200		-2.300"
"2011.04.20	-2.300		1.600"
